Data Terms of Use,https://www.edf.org/airqualitymaps/download-oakland-air-pollution-data ,,,
Longitude,Latitude,NO Value,NO2 Value,BC Value
-122.1845134,37.7569069,2.825870738,7.342583232,0.290752034
-122.1845104,37.74985799,5.424183046,9.959097626,0.244754962
-122.1845101,37.73678061,4.820895367,9.613098857,0.306677909
-122.1844986,37.7390193,1.875000089,5.86133337,0.463089846
-122.1844986,37.72991999,3.71365088,10.6683934,0.461499695
-122.1844893,37.7488492,4.666666811,6.499203527,0.407120221
-122.1844879,37.73382498,5.921052867,8.083600101,0.466640035
-122.1844715,37.75489388,2.595238166,6.217400074,0.260172343
-122.1844698,37.75122326,2.77058828,6.878873618,0.333891158
-122.1844653,37.73132027,3.281692053,10.93437493,0.320223424
-122.1844653,37.73383523,6.034482945,8.12293993,0.301165008
-122.1844511,37.75794678,12.70551348,9.123636116,0.411808511
-122.1844425,37.73854453,1.776315851,5.742104373,0.231219373
-122.1844399,37.7477841,7.544642888,10.73577473,0.390112775
-122.1844335,37.75853089,4.438596561,5.656365087,0.177746214
-122.1844228,37.73994575,2.232142937,5.575714646,0.376629737
-122.1844197,37.73511739,5.875517612,8.51778468,0.324916206
-122.1844082,37.72792834,8.230476265,13.00274481,0.603430752
-122.1844081,37.74349123,8.942728286,13.39250016,0.705713318
-122.1844066,37.73799443,2.425000066,7.21500145,0.454536543
-122.1844036,37.73444585,24.4850095,16.21420991,0.498910945
-122.1843992,37.75999028,2.641025716,6.638939953,0.11768198
-122.1843908,37.72790889,10.26082276,12.6051024,0.426333563
-122.1843841,37.73477553,21.33333352,14.45085556,0.540753074
-122.1843789,37.72929624,4.852941253,11.51149964,0.38701169
-122.1843719,37.74306667,14.99999966,11.99004569,0.530894579
-122.1843634,37.76095601,11.77777795,13.21702744,0.407518259
-122.1843442,37.73467246,33.14516213,15.22376129,0.462699978
-122.1843224,37.73070888,4.333333438,8.768884892,0.385156739
-122.1843216,37.75200684,1.985294109,5.63075943,0.486935251
-122.1843116,37.73155857,4.859649158,10.50712478,0.21003047
-122.1843104,37.75611877,2.910447899,7.238038244,0.353617581
-122.184303,37.7481138,3.750000105,5.448752949,0.333260716
-122.1842976,37.73186662,3.666666802,8.928461833,0.186665865
-122.1842914,37.73697034,6.599999871,6.253548468,0.175329029
-122.1842881,37.75100237,3.039215751,6.871174628,0.406581091
-122.1842836,37.7509969,3.000000026,7.23619241,0.349648945
-122.1842817,37.75761955,5.546434936,8.519401761,0.152223752
-122.1842736,37.75375781,3.333333259,9.41780626,0.420261278
-122.1842736,37.76117085,12.95614051,7.422768733,0.132083265
-122.1842567,37.75785603,10.96666651,9.447454496,0.380137911
-122.1842552,37.74755694,5.211206855,12.16513261,0.463717104
-122.1842514,37.72868618,6.901315716,10.61980431,0.338353288
